country,landmark1,landmark2,landmark3,landmark4,landmark5,landmark6
Afghanistan,Band-e Amir National Park,Minaret of Jam,Bamiyan Valley,Herat Citadel,"Blue Mosque, Mazar-i-Sharif",Paghman Gardens
Albania,Berat Castle,Gjirokastër Old Town,Butrint,Ksamil Beaches,Theth National Park,Rozafa Castle
Algeria,Casbah of Algiers,Timgad,Djemila,Hoggar Mountains,Tassili n'Ajjer,Basilica of Notre Dame d'Afrique
Andorra,Casa de la Vall,Madriu-Perafita-Claror Valley,Sant Joan de Caselles,Ordino,Caldea,Vallnord
Angola,Kalandula Falls,Fortaleza de São Miguel,Iona National Park,Miradouro da Lua,Mussulo Island,Slave Museum
Antigua and Barbuda,Dickenson Bay,Nelson's Dockyard,Shirley Heights,Half Moon Bay,St. John's Cathedral,Darkwood Beach
Argentina,Iguazu Falls,Perito Moreno Glacier,Casa Rosada,Teatro Colón,Bariloche,Recoleta Cemetery
Armenia,Geghard Monastery,Khor Virap,Lake Sevan,Tatev Monastery,Echmiadzin Cathedral,Garni Temple
Australia,Sydney Opera House,Great Barrier Reef,Uluru,Bondi Beach,Great Ocean Road,Kakadu National Park
Austria,Schönbrunn Palace,St. Stephen's Cathedral,Hallstatt,Salzburg Old Town,Grossglockner High Alpine Road,Melk Abbey
Azerbaijan,Flame Towers,"Old City, Baku",Gobustan National Park,Sheki Khan's Palace,Maiden Tower,Ateshgah Fire Temple
Bahamas,Paradise Island,Pink Sands Beach,Exuma Cays,Nassau Straw Market,Atlantis Paradise Island,Blue Hole
Bahrain,Bahrain Fort,Al Fateh Grand Mosque,Tree of Life,Bahrain National Museum,Bab Al Bahrain,Qal'at al-Bahrain
Bangladesh,Sundarbans,Lalbagh Fort,Ahsan Manzil,Srimangal,Cox's Bazar,Sixty Dome Mosque
Barbados,Bridgetown,Harrison's Cave,Bathsheba Beach,St. Nicholas Abbey,Animal Flower Cave,Carlisle Bay
Belarus,Brest Hero-Fortress,Mir Castle,Nesvizh Castle,Belovezhskaya Pushcha,National Library of Belarus,Khatyn Memorial
Belgium,Grand Place,Atomium,Bruges Historic Centre,Manneken Pis,Gravensteen,"Cathedral of Our Lady, Antwerp"
Belize,Great Blue Hole,Altun Ha,Caracol,Ambergris Caye,Placencia,Lamanai
Benin,Royal Palaces of Abomey,Pendjari National Park,Ouidah Route of Slaves,Ganvie,Cathedral of Notre Dame de Miséricorde,W National Park
Bhutan,Tiger's Nest Monastery,Punakha Dzong,Dochula Pass,Bumthang Valley,Paro Taktsang,Phobjikha Valley
Bolivia,Salar de Uyuni,Lake Titicaca,La Paz Cable Car,Potosí,Madidi National Park,Tiwanaku
Bosnia and Herzegovina,Stari Most,Baščaršija,Sutjeska National Park,Počitelj,Mostar Old Bridge Area,Vrelo Bosne
Botswana,Okavango Delta,Chobe National Park,Makgadikgadi Pans,Moremi Game Reserve,Tsodilo Hills,Kalahari Desert
Brazil,Christ the Redeemer,Iguazu Falls,Sugarloaf Mountain,Amazon Rainforest,Copacabana Beach,Pelourinho
Brunei,Sultan Omar Ali Saifuddien Mosque,Kampong Ayer,Ulu Temburong National Park,Jerudong Park,Royal Regalia Museum,Istana Nurul Iman
Bulgaria,Rila Monastery,Alexander Nevsky Cathedral,Ancient Theatre of Plovdiv,Nessebar Old Town,Seven Rila Lakes,Boyana Church
Burkina Faso,Grand Mosque of Bobo-Dioulasso,Nazinga Game Ranch,Sindou Peaks,Ouagadougou Cathedral,Bangr Weogo Park,Loropeni Ruins
Burundi,Lake Tanganyika,Rusizi National Park,Gitega National Museum,Kibira National Park,Livingstone-Stanley Monument,Kareera Waterfalls
Cabo Verde,Cidade Velha,Pico do Fogo,Santa Maria Beach,Sal Island,Santo Antão Mountains,Praia
Cambodia,Angkor Wat,Bayon Temple,Ta Prohm,"Royal Palace, Phnom Penh",Tonlé Sap,Koh Rong
Cameroon,Mount Cameroon,Waza National Park,Dja Faunal Reserve,Limbe Botanic Garden,Lobé Waterfalls,Bafut Palace
Canada,Niagara Falls,Banff National Park,CN Tower,Old Quebec,Jasper National Park,Parliament Hill
Central African Republic,Dzanga-Sangha Reserve,Bangi Cathedral,Manovo-Gounda St. Floris National Park,Boali Falls,Mbaiki,Bozoum
Chad,Lake Chad,Zakouma National Park,Ennedi Plateau,Guelta d'Archei,N'Djamena Grand Mosque,Abéché
Chile,Atacama Desert,Torres del Paine,Easter Island,Valparaíso,Maipo Valley,Cerro San Cristóbal
China,Great Wall,Forbidden City,Terracotta Army,Li River,Potala Palace,Zhangjiajie National Forest Park
Colombia,Cartagena Old Town,Salt Cathedral of Zipaquirá,Tayrona National Park,Medellín Metrocable,Ciudad Perdida,Coffee Cultural Landscape
Comoros,Mount Karthala,Grande Comore,Mohéli Marine Park,Mitsamiouli Beach,Old Friday Mosque,Itsandra Fortress
Congo (Republic of the),Odzala-Kokoua National Park,Pointe-Noire,Basilique Sainte-Anne,Sangha Trinational,Brazzaville,Lefini Reserve
Costa Rica,Arenal Volcano,Manuel Antonio National Park,Monteverde Cloud Forest,Tortuguero,Corcovado National Park,Poás Volcano
Côte d’Ivoire,Basilica of Our Lady of Peace,Banco National Park,Comoé National Park,Assinie,Grand-Bassam,Tai National Park
Croatia,Diocletian's Palace,Dubrovnik Old Town,Plitvice Lakes,Hvar,Zlatni Rat,Zagreb Cathedral
Cuba,Old Havana,Varadero Beach,Viñales Valley,Trinidad,El Morro,Che Guevara Mausoleum
Cyprus,Paphos Archaeological Park,Troodos Mountains,Kourion,Nicosia Venetian Walls,Kyrenia Harbour,Cape Greco
Czech Republic,Charles Bridge,Prague Castle,Old Town Square,Český Krumlov,Karlštejn Castle,Kutná Hora
Democratic Republic of the Congo,Virunga National Park,Kahuzi-Biega National Park,Zongo Falls,Lola ya Bonobo,Kinshasa,Salonga National Park
Denmark,Tivoli Gardens,Nyhavn,The Little Mermaid,Kronborg Castle,Rosenborg Castle,Legoland Billund
Djibouti,Lake Assal,Moucha Islands,Day Forest National Park,Arta Beach,Gulf of Tadjoura,Grand Bara
Dominica,Boiling Lake,Trafalgar Falls,Morne Trois Pitons National Park,Emerald Pool,Champagne Reef,Indian River
Dominican Republic,Zona Colonial,Punta Cana,Santo Domingo Cathedral,27 Charcos de Damajagua,Los Haitises,Alcázar de Colón
Ecuador,Galápagos Islands,Quito Old Town,Cotopaxi,Mitad del Mundo,Cuenca,Mindo Cloud Forest
Egypt,Pyramids of Giza,Great Sphinx,Luxor Temple,Valley of the Kings,Karnak Temple,Abu Simbel
El Salvador,Joya de Cerén,Santa Ana Volcano,Suchitoto,El Tunco,Lake Coatepeque,Ruta de las Flores
Equatorial Guinea,Pico Basilé,Moca Valley,Moka Falls,Malabo Cathedral,Monte Alén National Park,Arena Blanca Beach
Eritrea,Asmara modernist architecture,Dahlak Archipelago,Massawa,Qohaito,Keren,Embatkala
Estonia,Tallinn Old Town,Kadriorg Palace,Lahemaa National Park,Saaremaa,Tartu University,Pärnu Beach
Eswatini,Hlane Royal National Park,Mlilwane Wildlife Sanctuary,Mantenga Falls,Ngwenya Glass,Lobamba,Ezulwini Valley
Ethiopia,Lalibela Churches,Simien Mountains,Aksum,Blue Nile Falls,Axum Obelisks,Danakil Depression
Fiji,Mamanuca Islands,Denarau Island,Garden of the Sleeping Giant,Sabeto Hot Springs,Suva,Bouma National Heritage Park
Finland,Suomenlinna,Northern Lights,Santa Claus Village,Helsinki Cathedral,Lake District,Temppeliaukio Church
France,Eiffel Tower,Louvre Museum,Palace of Versailles,Mont-Saint-Michel,Côte d'Azur,Notre-Dame Cathedral
Gabon,Loango National Park,Pongara National Park,Sainte-Marie Cathedral,Libreville,Ivindo National Park,Akanda National Park
Gambia,Kunta Kinteh Island,Abuko Nature Reserve,River Gambia National Park,Bijilo Forest Park,Banjul,Makasutu Culture Forest
Georgia,Vardzia,Gergeti Trinity Church,Svetitskhoveli Cathedral,Tbilisi Old Town,Uplistsikhe,Batumi Boulevard
